Titulo,Localidade,Empresa,Salario,Tipo_Pesquisa,Desc
Software Engineer – Design System,"Eldorado do Sul, RS",DELL,None,Organic,Closing date: 29 May 2020.
Data Science/ Especialista em Dados,"São Paulo, SP",Natalia Beauty,R$ 2.000 - R$ 3.000 por mês,Organic,"Queremos um data science ANALÍTICO, com PROATIVIDADE, RÁPIDO, sem medo de trabalho e que eventualmente vai liderar uma equipe de análise de dados dentro no…"
Data Science,"São Bernardo do Campo, SP",Atento,None,Organic,"Cientista de Dados, venha fazer parte da nossa equipe!"
Data Scientist,"São Paulo, SP",BeeTech,None,Organic,"Nossa missão é possibilitar que as pessoas tenham uma vida global, com serviços financeiros que não são limitados a fronteiras."
Analista Data Science | SP,"São Paulo, SP",globo.com,None,Organic,Tenha ótima experiência em data visualization;
Data Science - Sênior,"São Paulo, SP",PicPay,None,Organic,O PicPay é uma plataforma de pagamento criada para quebrar barreiras e eliminar burocracias.
Analista Analytics & Data Science,"São Paulo, SP",AMPLIX,None,Organic,Experiência comprovada Modelagem preditiva mediante técnicas de machine learning e data science.
Quer ser o (a) próximo (a) especialista de Suporte z/OS ?,"Hortolândia, SP",IBM,None,Organic,"IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition."
Junior Data Scientist (m/f/d),"São Paulo, SP",Artefact,None,Organic,"Strong knowledge of data processing, data modeling, algorithms, and data architecture."
Data Scientist,"Barueri, SP",Cielo,None,Organic,Cada vez mais data-driven.
Analista Data Science | SP,"São Paulo, SP",Grupo Globo,None,Organic,Tenha ótima experiência em data visualization;
